,Name,Pos,HT,WT,Age,YOS,Draft Status
17,Dennis Schroder,PG,6-1,175,31,11,2013 Rnd 1 Pick 17
28,Alperen Sengun,C,6-11,243,22,3,2021 Rnd 1 Pick 16
28,Brice Sensabaugh,F,6-5,235,21,1,2023 Rnd 1 Pick 28
2,Collin Sexton,PG,6-3,190,26,6,2018 Rnd 1 Pick 8
44,Landry Shamet,PG,6-4,190,28,6,2018 Rnd 1 Pick 26
0,"Terrence Shannon, Jr.",F,6-6,215,24,0,2024 Rnd 1 Pick 27
20,Day'Ron Sharpe,PF,6-9,265,23,3,2021 Rnd 1 Pick 29
17,Shaedon Sharpe,F,6-5,208,21,2,2022 Rnd 1 Pick 7
23,Jamal Shead,G,6-1,200,22,0,2024 Rnd 2 Pick 15
26,Ben Sheppard,G,6-6,190,23,1,2023 Rnd 1 Pick 26
15,Reed Sheppard,G,6-2,185,20,0,2024 Rnd 1 Pick 3
43,Pascal Siakam,F,6-8,245,31,8,2016 Rnd 1 Pick 27
25,Ben Simmons,PF,6-10,240,28,8,2016 Rnd 1 Pick 1
1,Anfernee Simons,SG,6-3,200,25,6,2018 Rnd 1 Pick 24
25,K.J. Simpson,G,6-0,189,23,0,2024 Rnd 2 Pick 12
0,Jericho Sims,C,6-10,250,26,3,2021 Rnd 2 Pick 28
36,Marcus Smart,PG,6-3,220,31,10,2014 Rnd 1 Pick 6
12,Dru Smith,SG,6-2,203,27,2,"2021 NBA Draft, Undrafted"
7,Jalen Smith,C,6-9,215,25,4,2020 Rnd 1 Pick 10
10,"Jabari Smith, Jr.",F,6-10,220,21,2,2022 Rnd 1 Pick 3
8,"Nick Smith, Jr.",G,6-2,185,20,1,2023 Rnd 1 Pick 27
35,Tolu Smith,F,6-11,245,24,0,"2024 NBA Draft, Undrafted"
21,Tyler Smith,F,6-9,224,20,0,2024 Rnd 2 Pick 3
10,Jeremy Sochan,SG,6-8,230,21,2,2022 Rnd 1 Pick 9
24,Cam Spencer,SG,6-4,205,25,0,2024 Rnd 2 Pick 23
61,Pat Spencer,G,6-3,205,28,1,"2020 NBA Draft, Undrafted"
11,Jaden Springer,SG,6-4,202,22,3,2021 Rnd 1 Pick 28
4,Isaiah Stevens,PG,6-0,185,24,0,"2024 NBA Draft, Undrafted"
8,Lamar Stevens,SF,6-7,230,27,4,"2020 NBA Draft, Undrafted"
28,Isaiah Stewart II,C,6-8,250,23,4,2020 Rnd 1 Pick 16
3,Julian Strawther,GF,6-6,205,22,1,2023 Rnd 1 Pick 29
1,Max Strus,G,6-5,215,29,5,"2019 NBA Draft, Undrafted"
4,Jalen Suggs,SG,6-5,205,23,3,2021 Rnd 1 Pick 5
12,Cole Swider,F,6-8,220,25,2,"2022 NBA Draft, Undrafted"
8,Jae'sean Tate,F,6-4,230,29,4,"2018 NBA Draft, Undrafted"
0,Jayson Tatum,SF,6-8,210,27,7,2017 Rnd 1 Pick 3
17,Garrett Temple,G,6-5,195,38,14,"2009 NBA Draft, Undrafted"
25,Dalen Terry,PG,6-7,195,22,2,2022 Rnd 1 Pick 18
24,Cam Thomas,PG,6-3,210,23,3,2021 Rnd 1 Pick 27
1,Amen Thompson,G,6-7,200,22,1,2023 Rnd 1 Pick 4
9,Ausar Thompson,G,6-6,205,22,1,2023 Rnd 1 Pick 5
55,Ethan Thompson,SG,6-5,195,25,0,"2021 NBA Draft, Undrafted"
31,Klay Thompson,G,6-5,220,35,13,2011 Rnd 1 Pick 11
13,Tristan Thompson,F,6-9,254,34,13,2011 Rnd 1 Pick 4
21,J.T. Thor,PF,6-9,203,22,3,2021 Rnd 2 Pick 7
4,Matisse Thybulle,SF,6-5,201,28,5,2019 Rnd 1 Pick 20
26,"Xavier Tillman, Sr.",PF,6-7,245,26,4,2020 Rnd 2 Pick 5
26,Drew Timme,F,6-10,235,24,0,"2023 NBA Draft, Undrafted"
30,Nae'qwan Tomlin,F,6-10,210,24,0,"2024 NBA Draft, Undrafted"
44,Nikola Topic,PG,6-6,200,19,0,2024 Rnd 1 Pick 12
0,Jacob Toppin,SF,6-8,200,24,1,"2023 NBA Draft, Undrafted"
1,Obi Toppin,F,6-9,220,27,4,2020 Rnd 1 Pick 8
32,Karl-Anthony Towns,C,7-0,248,29,9,2015 Rnd 1 Pick 1
33,Luke Travers,F,6-7,207,23,0,2022 Rnd 2 Pick 26
5,"Gary Trent, Jr.",SG,6-5,204,26,6,2018 Rnd 2 Pick 7
34,Oscar Tshiebwe,F,6-8,255,25,1,"2023 NBA Draft, Undrafted"
